model,data,pred_len,seq_len,n_features,bit_width,num_params,param_bytes,activation_arena_bytes,peak_ram_bytes,flash_bytes,flops,latency_ms,energy_mj,deploy_16k,deploy_32k,deploy_64k
TQNet,ETTh2,96,96,7,8,95240,95240,3584,6976,101384,808192,24.24576,7.20099072,1,1,1
TQNet,ETTh2,192,96,7,8,107624,107624,4032,8096,113768,980224,29.40672,8.733795839999999,1,1,1
TQNet,ETTh2,336,96,7,8,126200,126200,5040,10112,132344,1238272,37.14816,11.03300352,1,1,1
TQNet,ETTh2,720,96,7,8,175736,175736,7728,15488,181880,1926400,57.792,17.164223999999997,1,1,1
TQNet,ETTm1,96,96,7,8,95240,95240,3584,6976,101384,808192,24.24576,7.20099072,1,1,1
TQNet,ETTm1,192,96,7,8,107624,107624,4032,8096,113768,980224,29.40672,8.733795839999999,1,1,1
TQNet,ETTm1,336,96,7,8,126200,126200,5040,10112,132344,1238272,37.14816,11.03300352,1,1,1
TQNet,ETTm1,720,96,7,8,175736,175736,7728,15488,181880,1926400,57.792,17.164223999999997,1,1,1
TQNet,ETTm2,96,96,7,8,95240,95240,3584,6976,101384,808192,24.24576,7.20099072,1,1,1
TQNet,ETTm2,192,96,7,8,107624,107624,4032,8096,113768,980224,29.40672,8.733795839999999,1,1,1
TQNet,ETTm2,336,96,7,8,126200,126200,5040,10112,132344,1238272,37.14816,11.03300352,1,1,1
TQNet,ETTm2,720,96,7,8,175736,175736,7728,15488,181880,1926400,57.792,17.164223999999997,1,1,1
